,Nama Kecamatan,Luas Wilayah (m2),Jumlah_Penduduk
0,Andir,4220000,97553
1,Antapani,4220000,74461
2,Arcamanik,7590000,69313
3,Astana Anyar,2680000,68830
4,Babakan Ciparay,7070000,147096
5,Bandung Kidul,5420000,58957
6,Bandung Kulon,6950000,142411
7,Bandung Wetan,3440000,31124
8,Batununggal,4820000,120927
9,Bojongloa Kaler,3120000,120405
10,Bojongloa Kidul,5200000,85668
11,Buahbatu,7460000,95108
12,Cibeunying Kaler,4640000,70924
13,Cibeunying Kidul,4140000,107806
14,Cibiru,6840000,72016
15,Cicendo,7790000,99752
16,Cidadap,8420000,58672
17,Cinambo,4250000,25231
18,Coblong,7310000,131530
19,Gedebage,9960000,37082
20,Kiaracondong,5800000,131972
21,Lengkong,5910000,71187
22,Mandalajati,4800000,63578
23,Panyileukan,5310000,40248
24,Rancasari,7010000,76895
25,Regol,4740000,81467
26,Sukajadi,5280000,108375
27,Sukasari,6360000,81908
28,Sumur Bandung,3490000,36579
29,Ujung Berung,6240000,76902
